CURR_CD,EXCH_RATE_AMT
AED,3.673151
AFN,77.277635
ALL,101.642984
AMD,517.399531
ANG,1.795001
AOA,655.296533
ARS,82.445718
AUD,1.329307
AWG,1.81
AZN,1.699
BAM,1.615811
BBD,2.0191
BDT,84.788806
BGN,1.607905
BHD,0.377057
BIF,1938.94671
BMD,1
BND,1.332947
BOB,6.891237
BRL,5.147236
BSD,1
BTN,73.62569
BWP,10.902001
BYN,2.558843
BYR,19633.416199
BZD,2.0157
CAD,1.28175
CDF,1968.786338
CHF,0.888599
CLP,733.005775
CNY,6.541252
COP,3467.192146
CRC,605.434628
CUP,1
CVE,92.104731
CZK,21.631701
DJF,178.025035
DKK,6.117458
DOP,58.144906
DZD,131.285338
EGP,15.703802
ERN,15.075003
ETB,38.838645
EUR,0.822101
FJD,2.050255
FKP,0.744421
GBP,0.744791
GEL,3.285113
GHS,5.869416
GIP,0.744423
GMD,52.299437
GNF,9949.23753
GTQ,7.804722
GYD,209.239722
HKD,7.752095
HNL,24.17448
HRK,6.200253
HTG,69.802328
HUF,294.951521
IDR,14120.452047
ILS,3.24794
INR,73.632485
IQD,1258.028614
IRR,42000.008111
ISK,127.474539
JMD,143.784118
JOD,0.708837
JPY,103.803967
KES,110.6148
KGS,83.542344
KHR,4049.79724
KMF,405.590039
KRW,1094.929483
KWD,0.304826
KYD,0.825
KZT,421.068376
LAK,9281.247105
LBP,1512.085757
LKR,186.96784
LRD,161.040628
LSL,14.917734
LYD,1.343825
MAD,8.968489
MDL,17.245043
MGA,3878.825953
MKD,50.651339
MMK,1338.305898
MNT,2850.735411
MOP,7.989342
MRO,355.319301
MRU,36.955808
MUR,39.608174
MVR,15.460003
MWK,763.829298
MXN,19.977454
MXO,19.9352
MYR,4.056726
MZN,74.131478
NAD,14.917687
NGN,381.066566
NIO,34.850006
NOK,8.718912
NPR,117.805361
NZD,1.410554
OMR,0.384856
PAB,1
PEN,3.601271
PGK,3.522761
PHP,48.068047
PKR,160.25606
PLN,3.678935
PYG,6961.162739
QAR,3.64841
RON,4.004289
RSD,96.657982
RTG,82.046109
RUB,74.216598
RWF,990.030012
SAR,3.751437
SBD,8.090624
SCR,21.069411
SDG,55.13096
SEK,8.368859
SGD,1.332947
SHP,0.745387
SLL,10122.137278
SOS,578.500112
SRD,14.152573
SSP,175.584009
STD,20762.4369
STN,21.507864
SVC,8.754616
SYP,1257.500243
SZL,14.918284
THB,30.080967
TJS,11.325124
TMT,3.495001
TND,2.701666
TOP,2.275383
TRY,7.721087
TTD,6.790253
TWD,28.207717
TZS,2319.0002
UAH,28.162018
UGX,3667.339995
USD,1
UYU,42.433496
UZS,10443.321095
VEF,3340.818526
VES,1066873.773277
VND,23124.868818
VUV,110.136092
WST,2.531169
XAF,543.540453
XCD,2.710001
XOF,542.585876
XPF,98.177035
YER,249.714539
ZAR,14.918232
ZMW,21.092358
