HTL_CD,REGION,COUNTRY,RMS_AVAIL
ABCDE,"EUROPE, MIDDLE EAST, ASIA & AFRICA",FRANCE,69
EXIUS,AMERICAS,UNITED STATES,68
HIHIO,AMERICAS,UNITED STATES,90
UKABC,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,142
UKXYZ,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,133
UKPIL,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,906
UKONE,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,453
UKKKK,"EUROPE, MIDDLE EAST, ASIA & AFRICA",UNITED KINGDOM,64
PHPHL,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,263
PHKBS,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,285
PHEGA,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,348
PHAIR,"EUROPE, MIDDLE EAST, ASIA & AFRICA",PHILIPPINES,737
USMNO,AMERICAS,UNITED STATES,81
USZBF,AMERICAS,UNITED STATES,104
GCBJN,GREATER CHINA,CHINA-PEOPLES REPUBLIC,600
GCHIJ,GREATER CHINA,CHINA-PEOPLES REPUBLIC,312
GCKNM,GREATER CHINA,CHINA-PEOPLES REPUBLIC,466
USWAS,AMERICAS,UNITED STATES,177
USSGM,AMERICAS,UNITED STATES,291
ICWAS,AMERICAS,UNITED STATES,335
